address,latitude,longitude
208 EDDY ST,37.784167035618,-122.411175764248
17 PERSIA AVE,37.723113418692,-122.43580847716
3250 19TH ST,37.760456143042,-122.416491987439
230 EDDY ST,37.784118698339,-122.411559310255
2517 FILLMORE ST,37.792642456768,-122.434664581661
2355 23RD ST,,
947 BUSH ST,37.789583709846,-122.412843430718
366 EDDY ST,37.783845367929,-122.413730532002
3310 19TH ST,37.760409646765,-122.417299030933
2212 CHESTNUT ST,37.800427516935,-122.43975412417
917 BUSH ST,37.789643150621,-122.412380062624
49 OCEAN AVE,37.723676643106,-122.436905902457
2551 23RD ST,37.754310540448,-122.404972517231
901 BUSH ST,37.789676528152,-122.412130457178
2515 FILLMORE ST,37.792626948605,-122.434661384104
2306 CHESTNUT ST,37.800228248827,-122.441352006786
1200 KANSAS ST,37.754447599133,-122.402623080195
915 BUSH ST,37.789647113339,-122.412349171417
420 EDDY ST,37.783730499003,-122.414630160946
3950 24TH ST,37.751563397437,-122.430795759636
434 EDDY ST,37.783704459704,-122.41484390031
3230 DIVISADERO ST,37.799383453675,-122.442652647171
520 EDDY ST,37.783525068969,-122.416270665516
75 PERRY ST,37.782780388442,-122.395898550562
3325 STEINER ST,37.799940457922,-122.437828418043
534 EDDY ST,37.783498068533,-122.416485495187
835 BUSH ST,37.789745788812,-122.411599645805
863 BUSH ST,37.789838211688,-122.410866289989
650 EDDY ST,37.783260516245,-122.418383611719
3246 PIERCE ST,37.799925015251,-122.439363931311
3465 18TH ST,37.7616816402,-122.420914152496
620 EDDY ST,37.783320916607,-122.417919339788
660 EDDY ST,37.783240434682,-122.418536720619
61 PERRY ST,37.782854860253,-122.39580368765
55 PERRY ST,37.782886776743,-122.395763032115
621 POLK ST,37.782286480587,-122.419091269775
2417 LOMBARD ST,37.799056395389,-122.441444406521
324 CLIPPER ST,37.749049870818,-122.432223331128
2323 FILLMORE ST,37.790961019016,-122.434328707998
3231 SCOTT ST,37.799581566337,-122.441126392063
3455 18TH ST,37.761696259975,-122.420680595849
4109 18TH ST,37.760824337913,-122.435147321998
1528 PINE ST,37.789616840735,-122.420969811017
2439 LOMBARD ST,,
555 LARKIN ST,37.782475665693,-122.417431570901
1601 EDDY ST,37.781155154519,-122.43403043054
561 LARKIN ST,37.782510385523,-122.417438741296
2921 GEARY BLVD,37.781965775432,-122.450320550605
1641 PACIFIC AVE,37.794892518692,-122.422176783957
735 FONT BLVD,37.722141101092,-122.48289078244
3110 17TH ST,37.76368248679,-122.416402546816
607 LARKIN ST,37.783438946875,-122.417626091447
731 LARKIN ST,37.784760196542,-122.417890172303
725 FONT BLVD,37.722035839974,-122.48276907772
1701 FILLMORE ST,37.78520150744,-122.433167388663
3260 17TH ST,37.763539187452,-122.418744967939
1565 PACIFIC AVE,37.794985197006,-122.421453716592
1545 PACIFIC AVE,37.795042469815,-122.420998024003
1523 PACIFIC AVE,37.795105469905,-122.420496762155
333 HYDE ST,37.783832287837,-122.416018052183
359 HYDE ST,37.78405059244,-122.416062132891
1635 HOLLOWAY AVE,37.720743756568,-122.477729763681
570 JESSIE ST,37.780925413478,-122.409950623269
3371 CESAR CHAVEZ ST,37.748067570579,-122.417598017922
3345 SACRAMENTO ST,37.788036606092,-122.447725522349
201 BUCHANAN ST,37.771638605388,-122.427051786842
3645 BAKER ST,37.804612838511,-122.447250869503
1315 FILLMORE ST,37.781827765989,-122.432482018529
1401 EDDY ST,37.781569447216,-122.430754946222
1625 HOLLOWAY AVE,37.720737440116,-122.477543879934
259 HYDE ST,37.783117809702,-122.415874865887
241 HYDE ST,37.782968385651,-122.41584388775
3300 17TH ST,37.763480965083,-122.419589916207
150 HYDE ST,37.782138480817,-122.41552739188
1537 PACIFIC AVE,37.795065378938,-122.420815746967
3457 BAKER ST,37.802865783196,-122.446899230672
1402 BROADWAY,37.79620207147,-122.42022353142
3350 17TH ST,37.763421601635,-122.420612845309
1416 BROADWAY,37.796186394168,-122.420311324345
1448 BROADWAY,37.796150560334,-122.420511993887
1442 BROADWAY,37.796157279178,-122.420474368348
2750 26TH ST,,
1615 HOLLOWAY AVE,37.720731123664,-122.477357996187
3405 BAKER ST,37.802433971098,-122.446813287544
3229 BAKER ST,37.800872848686,-122.446495368378
3211 BAKER ST,37.800657431095,-122.446452494032
1590 BROADWAY,37.795827472645,-122.423131919617
1607 HOLLOWAY AVE,37.720726070503,-122.477209289189
2420 BAY ST,37.801806051198,-122.446912149891
3421 26TH ST,37.748958091362,-122.418595452882
1625 POST ST,37.785669823525,-122.428572340824
288 GOLDEN GATE AVE,37.781736826948,-122.415308011828
2121 POLK ST,37.796164163078,-122.421884657269
10 GOLDEN GATE AVE,37.782374405011,-122.410810051676
3159 BAKER ST,37.80019520725,-122.446360219829
1605 HOLLOWAY AVE,37.720724807212,-122.47717211244
3359 26TH ST,37.749038974304,-122.417231431042
3157 BAKER ST,37.800183741675,-122.446357926716
2139 POLK ST,37.796318605392,-122.421915982813
111 TAYLOR ST,37.783370423287,-122.410870751158
1451 POST ST,37.785882092979,-122.426884550219
3151 LYON ST,37.79986131968,-122.447613807163
2455 POLK ST,37.799262769824,-122.422512543229
3129 LYON ST,37.799676722058,-122.447584520064
2411 POLK ST,37.798893547693,-122.422438186044
1301 POST ST,37.786339451628,-122.423275959916
1330 GEARY BLVD,37.785434741245,-122.425267821068
1600 15TH ST,37.766729363295,-122.419901068781
3725 19TH ST,37.759735599024,-122.42658159946
2935 LYON ST,37.797849258653,-122.447281990517
3310 26TH ST,37.749214265072,-122.416193333508
2855 19TH AVE,37.760398559551,-122.410515419367
2901 LYON ST,37.797560854742,-122.44723666994
2235 POLK ST,37.797434752981,-122.42214218244
2755 LOMBARD ST,37.798477214859,-122.446687305633
748 GEARY ST,37.786502348198,-122.415400787223
2739 LOMBARD ST,37.798502132947,-122.446493206747
2217 POLK ST,37.797149372127,-122.422084252921
2801 LYON ST,37.79662525715,-122.447096769766
2023 POLK ST,37.795255329387,-122.421701576743
950 GEARY ST,37.786050214108,-122.418938280474
385 14TH ST,37.768098936771,-122.421971055711
1819 POLK ST,37.793444954755,-122.421341254267
2745 LYON ST,37.796058190243,-122.447009801947
2725 LYON ST,37.795890384928,-122.446983985766
365 14TH ST,37.768110556285,-122.421756094423
1813 POLK ST,37.79339734022,-122.42133211613
11 MASONIC AVE,37.782776120824,-122.447240593485
1545 POLK ST,37.791013570944,-122.420847121545
325 14TH ST,37.768151444351,-122.421034987419
1695 POLK ST,37.792283984738,-122.421104912867
87 MASONIC AVE,37.784959735257,-122.447640889962
801 BUENA VISTA AVE WEST,37.769023701655,-122.443333096389
2827 CALIFORNIA ST,37.787945291847,-122.440939825894
1541 POLK ST,37.790978578462,-122.420840088747
3650 19TH AVE,37.759952595586,-122.424796109842
174 ELLIS ST,37.785383939402,-122.409132766595
3260 23RD ST,37.753945368656,-122.417780326467
255 14TH ST,37.768274581707,-122.41897058026
